Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
CW9613.M0.NSB	0.16643447441502	0.0891657650077755	0.144490034625865	0.063080608913343	0	0	0	0.0315934226824125	0.0719049914894902	0	0	0.0280438130485121	0.00731096982039786	0.0242085762070018	0.0247165408309335	0	0.00202945985244575	0.00940972839373556	0	0.123895023831046	0	0.213716590882021	0	0.550889202835999	0.834343901728529
CW9613.M0.PAX	0.207980018870207	0	0.0718148304661906	0.228269434593069	0.0626271600203104	0	0.0194820381125155	0	0.145441487122232	0	0.0509786265131782	0.0279156896887255	0.103810735120174	0.0197451098899671	0	0	0.00387541983368496	0	0.0174842065700705	0	0	0.0405752431996749	0	0.709508289244868	0.732133205294274
D11595.M0.PAX	0.0442597926347363	0	0.0237049891473405	0.292387434388229	0	0	0.000246802496599106	0	0.14522312314678	0	0.0534112701824214	0.0302051630141832	0.137205026857993	0	0	0.00214849050757598	0	7.68316497805589e-05	0.000521692639027836	0	0	0.270609383335333	0	0.766636575255927	0.673065142796452
D30537.M0.PAX	0.0188848417198668	0.0531400352039881	0.0251986652676169	0.308542772657159	0	0	0	0	0.154985603631896	0	0.0552110701821154	0.0517110246252766	0.15810788082103	0.00896599354925432	0.000693612212705712	0	0	0	0.0180341114075457	0	0	0.146524388721545	0	0.644556577999446	0.773732596039112
D47359.M0.PAX	0.0912702453129729	0	0.0385530683208842	0.334042150016179	0.0164246308497267	0	0.000637282893910052	0.000165018700815774	0.197991151863269	0	0.0605255861843293	0.0343769484075994	0.141286189215506	0	0	0.0023580719726031	0	0	0.00458333485548906	0	0	0.0777863214067162	0	0.724253129371278	0.713907311154278
D48DAF.M0.PAX	0.0898343391425914	0	0.0312660827221908	0.230816534984889	0	0	0.00562389963676508	0	0.158394223769735	0	0.153093258789942	0	0.181164428382631	0.0110535386717192	0	0.00296861001376227	0	0	0.00254370761031751	0	0	0.133241376275456	0	0.708133124502882	0.732460769592389
D95609.M0.PAX	0.0392148215803277	0	0.0196522504392917	0.223886626203556	0	0	0.00326796808398698	0	0.150197572820033	0	0.172977658460526	0	0.206111878058841	0.013870364711637	0	0.00063041902462894	0	0	0.000102232557805782	0	0	0.170088208059366	0	0.721219937903825	0.717176336809935
DA8A0E.M0.PAX	0.0375002836474587	0.0143864061078857	0.0310030930852034	0.211050461767226	0.00131684474651259	0	0.00197938826138838	0	0.128994204628339	0	0.0420961810133151	0.0402892306409509	0.189058756210557	0.0319304843152393	0	0	0	0	0.0415673622354485	0	0	0.228827303340476	0	0.780670482236662	0.679157271134881
DD1781.M0.PAX	0.0892903809913966	0	0.0291963623672729	0.251775613970256	0.0105367669899251	0	0.00992510025836607	0	0.166857771384295	0	0.16158196030336	0.00248061897117835	0.127567677884964	0.0243798351670334	0	0.00656516819222824	0	0	1.33490586891171e-05	0	0	0.119829394461036	0	0.738667738346152	0.70817637135015
DH5958.M0.NSB	0.018196321490598	0.0971673257990635	0.01450662367158	0.192257202830437	0	0.000942602031575533	0	0.0517774045621059	0.206612215228468	0	0	0.0845405982840015	0.0222524445478632	0.00318316235218456	0.0465472416109243	0.0134700901103626	0.00264257198065588	0.010269910610878	0	0.0785007388884607	0	0.157133546000841	0	0.730970338990933	0.719284825333407
DH5958.M0.PAX	0.11357962138831	0	0.0189671246401796	0.266901781657571	0	0	0.00167546247715444	0.00412119459941979	0.121288690689895	0	0.144647858074785	0.0190652636624485	0.152416530309462	0.0108702085748476	0	0.000821095260589229	0	0	0	0	0	0.145645168665337	0	0.767910265740784	0.683960944210662
DK2656.M0.PAX	0.101836513978165	0	0.0406704707536242	0.180018014516239	0.0290998431575871	0	0.0042386272622264	0	0.143350482834843	0	0.0645140462747854	0.0164857980448855	0.194648465008127	0.0192308130566072	0	0	0	0	0.00616727185966455	0	0	0.199739653253246	0	0.743539104853242	0.709068139223457
DN4608.M0.NSB	0.0718287241553626	0.137315956435907	0.0272492510312902	0.0301060098415899	0	0.019089744287865	0	0.0263137605139152	0.0126061533382548	0	0	0.0690502995599696	0.0370084169523696	0	0.054566938536753	0.00608441487833174	0	0.0150394778148642	0	0.249040873667676	0	0.244699978985852	0	0.772053278947577	0.67298168092299
DN4608.M0.PAX	0.0544272943203268	0	0.0983895678481004	0.206236621225146	0	0	0.029905066640559	0	0.122751604422285	0	0.102292487721343	0.00124462130085871	0.18027523376566	0.0220685826448745	0	0	0	0.00741124692479235	0.00427689465694312	0	0	0.170720778529112	0	0.605076282969192	0.804154906250264
DU0506.M0.PAX	0.0525004359614556	0.0224193744070609	0.0600257491692011	0.225257245806342	0.062159678983883	0	0.000624992889154959	0	0.207400094544544	0	0.0605498255733567	0.0304390432982761	0.155376174191428	0.00641389263024503	0	0	0	0	0.0226812413067894	0	0	0.0941522512382629	0	0.566548659753899	0.825874674827911
DU3535.M0.NSB	0.0624229170262174	0	0.00509236512424584	0.211460422077345	0	0.14155224036747	0.016516609842358	0.0337953999645518	0.150808393344279	0	0.0629567737654734	0	0.0118697458230785	0.0488113834518978	0.0107029935175452	0.043045931994898	0	0.0227557006468498	0.0147733568875183	0.0183918955931579	0.0288553900774586	0.116188480495656	0	0.523325794672183	0.851990752205883
DU3535.M0.PAX	0.093531657360545	0	0.0239053825041148	0.228095691374677	0	0	0.00622548879503501	0	0.101044077705201	0	0.145508140048916	0.0320960376294447	0.189192310933751	0.00657317416875665	0	0	0	0	0.00385407717003685	0	0	0.169973962309522	0	0.779417988579859	0.675156280171406
